"name","shop","host2_shop_url","host2_profile_url","photo_source_url","shop_monthly_rank","collected_at"
"亜嵐","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/alan/index.html","https://www.host2.jp/shop/acacia/alan/pr01-thum.jpg","9","2026-09-24"
"天峯雪綺","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/amane2/index.html","https://www.host2.jp/shop/acacia/amane2/pr01-thum.jpg","6","2026-09-24"
"歩夢","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/ayumu23/index.html","https://www.host2.jp/shop/acacia/ayumu23/pr01-thum.jpg",,"2026-09-24"
"エル","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/eru23/index.html","https://www.host2.jp/shop/acacia/eru23/pr01-thum.jpg",,"2026-09-24"
"剛","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/go/index.html","https://www.host2.jp/shop/acacia/go/pr01-thum.jpg","1","2026-09-24"
"寿 狛","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/haku2/index.html","https://www.host2.jp/shop/acacia/haku2/pr01-thum.jpg","4","2026-09-24"
"華美","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/hanabi/index.html","https://www.host2.jp/shop/acacia/hanabi/pr01-thum.jpg","7","2026-09-24"
"南雲晴矢","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/haruya/index.html","https://www.host2.jp/shop/acacia/haruya/pr01-thum.jpg",,"2026-09-24"
"カナデ","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/kanade2/index.html","https://www.host2.jp/shop/acacia/kanade2/pr01-thum.jpg","8","2026-09-24"
"要","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/kaname/index.html","https://www.host2.jp/shop/acacia/kaname/pr01-thum.jpg",,"2026-09-24"
"Kaz","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/kazu/index.html","https://www.host2.jp/shop/acacia/kazu/pr01-thum.jpg",,"2026-09-24"
"???","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/koga23/index.html","https://www.host2.jp/img/com/staff_pr.jpg",,"2026-09-24"
"マオ","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/mao/index.html","https://www.host2.jp/shop/acacia/mao/pr01-thum.jpg",,"2026-09-24"
"真人","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/masato/index.html","https://www.host2.jp/shop/acacia/masato/pr01-thum.jpg",,"2026-09-24"
"真優","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/mayu/index.html","https://www.host2.jp/shop/acacia/mayu/pr01-thum.jpg","10","2026-09-24"
"未来","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/mirai/index.html","https://www.host2.jp/shop/acacia/mirai/pr01-thum.jpg",,"2026-09-24"
"天羽 蓮","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/ren/index.html","https://www.host2.jp/shop/acacia/ren/pr01-thum.jpg","5","2026-09-24"
"瑠姫","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/ruki/index.html","https://www.host2.jp/shop/acacia/ruki/pr01-thum.jpg","3","2026-09-24"
"俊","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/shun2/index.html","https://www.host2.jp/img/com/staff_pr.jpg",,"2026-09-24"
"つな","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/tsuna2/index.html","https://www.host2.jp/shop/acacia/tsuna2/pr01-thum.jpg","2","2026-09-24"
"山口","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/yamaguchi/index.html","https://www.host2.jp/shop/acacia/yamaguchi/pr01-thum.jpg",,"2026-09-24"
"悠真","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/yuma/index.html","https://www.host2.jp/shop/acacia/yuma/pr01-thum.jpg",,"2026-09-24"
"亜希","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/aki01/index.html","https://www.host2.jp/shop/acqua/aki01/pr01-thum.jpg","9","2026-09-24"
"Arice","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/arisu/index.html","https://www.host2.jp/shop/acqua/arisu/pr01-thum.jpg","15","2026-09-24"
"朝陽","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/asahi00/index.html","https://www.host2.jp/shop/acqua/asahi00/pr01-thum.jpg",,"2026-09-24"
"さとうふゆり","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/fuyuri/index.html","https://www.host2.jp/shop/acqua/fuyuri/pr01-thum.jpg",,"2026-09-24"
"松田元太","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/genta/index.html","https://www.host2.jp/shop/acqua/genta/pr01-thum.jpg","11","2026-09-24"
"あまみはく","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/haku00/index.html","https://www.host2.jp/shop/acqua/haku00/pr01-thum.jpg",,"2026-09-24"
"白馬","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/hakuba/index.html","https://www.host2.jp/shop/acqua/hakuba/pr01-thum.jpg",,"2026-09-24"
"颯人","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/hayato00/index.html","https://www.host2.jp/shop/acqua/hayato00/pr01-thum.jpg","6","2026-09-24"
"いおり","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/iori/index.html","https://www.host2.jp/shop/acqua/iori/pr01-thum.jpg",,"2026-09-24"
"J","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/jii/index.html","https://www.host2.jp/img/com/staff_pr.jpg",,"2026-09-24"
"爆豪勝己","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/katsuki01/index.html","https://www.host2.jp/shop/acqua/katsuki01/pr01-thum.jpg",,"2026-09-24"
"慶","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/kei00/index.html","https://www.host2.jp/shop/acqua/kei00/pr01-thum.jpg","14","2026-09-24"
"KID","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/kiddo/index.html","https://www.host2.jp/shop/acqua/kiddo/pr01-thum.jpg","4","2026-09-24"
"まりあ","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/maria/index.html","https://www.host2.jp/shop/acqua/maria/pr01-thum.jpg",,"2026-09-24"
"やっぱり正人","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/masato/index.html","https://www.host2.jp/shop/acqua/masato/pr01-thum.jpg",,"2026-09-24"
"みなと みらい","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/mirai/index.html","https://www.host2.jp/shop/acqua/mirai/pr01-thum.jpg",,"2026-09-24"
"凪 海斗","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/nagi04/index.html","https://www.host2.jp/shop/acqua/nagi04/pr01-thum.jpg","1","2026-09-24"
"齊藤なぎさ","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/nagisa/index.html","https://www.host2.jp/shop/acqua/nagisa/pr01-thum.jpg",,"2026-09-24"
"ぽい","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/poi/index.html","https://www.host2.jp/shop/acqua/poi/pr01-thum.jpg",,"2026-09-24"
"輝咲 月","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/raito/index.html","https://www.host2.jp/shop/acqua/raito/pr01-thum.jpg",,"2026-09-24"
"胡蝶 蘭","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/ran00/index.html","https://www.host2.jp/img/com/staff_pr.jpg",,"2026-09-24"
"中目黒 蓮斗","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/rento00/index.html","https://www.host2.jp/shop/acqua/rento00/pr01-thum.jpg","7","2026-09-24"
"桜 玲央","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/reo01/index.html","https://www.host2.jp/shop/acqua/reo01/pr01-thum.jpg",,"2026-09-24"
"Leo","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/reo3/index.html","https://www.host2.jp/shop/acqua/reo3/pr01-thum.jpg","12","2026-09-24"
"皐月","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/satsuki/index.html","https://www.host2.jp/shop/acqua/satsuki/pr01-thum.jpg","3","2026-09-24"
"セナ","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/sena01/index.html","https://www.host2.jp/shop/acqua/sena01/pr01-thum.jpg","5","2026-09-24"
"翔己","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/shoki/index.html","https://www.host2.jp/shop/acqua/shoki/pr01-thum.jpg",,"2026-09-24"
"シュウ","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/shu00/index.html","https://www.host2.jp/shop/acqua/shu00/pr01-thum.jpg",,"2026-09-24"
"雨琉","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/uru/index.html","https://www.host2.jp/shop/acqua/uru/pr01-thum.jpg",,"2026-09-24"
"白咲優羽","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/yu04/index.html","https://www.host2.jp/img/com/staff_pr.jpg",,"2026-09-24"
"夜凪ゆうは","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/yuha/index.html","https://www.host2.jp/shop/acqua/yuha/pr01-thum.jpg","2","2026-09-24"
"優希","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/yuki1/index.html","https://www.host2.jp/shop/acqua/yuki1/pr01-thum.jpg",,"2026-09-24"
"ゆの","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/yuno/index.html","https://www.host2.jp/shop/acqua/yuno/pr01-thum.jpg","8","2026-09-24"
"ゾロア","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/zoroa/index.html","https://www.host2.jp/shop/acqua/zoroa/pr01-thum.jpg","10","2026-09-24"
"愛田 武","愛本店","https://www.host2.jp/shop/aihonten/index.html","https://www.host2.jp/shop/aihonten/aidatakeshi/index.html","https://www.host2.jp/shop/aihonten/aidatakeshi/pr01-thum.jpg",,"2026-09-24"
"淳","愛本店","https://www.host2.jp/shop/aihonten/index.html","https://www.host2.jp/shop/aihonten/atsushi/index.html","https://www.host2.jp/shop/aihonten/atsushi/pr01-thum.jpg","1","2026-09-24"
"あずさ","愛本店","https://www.host2.jp/shop/aihonten/index.html","https://www.host2.jp/shop/aihonten/azusa/index.html","https://www.host2.jp/shop/aihonten/azusa/pr01-thum.jpg",,"2026-09-24"
