"name","shop","host2_shop_url","host2_profile_url","photo_source_url","shop_monthly_rank","collected_at"
"陽月まる","a-ist Fellas","https://www.host2.jp/shop/fellas/index.html","https://www.host2.jp/shop/fellas/maru/index.html","https://www.host2.jp/shop/fellas/maru/pr01-thum.jpg","1","2026-09-24"
"珠璃","A.I.M","https://www.host2.jp/shop/aim2/index.html","https://www.host2.jp/shop/aim2/neo/index.html","https://www.host2.jp/shop/aim2/neo/pr01-thum.jpg","1","2026-09-24"
"剛","ACACIA","https://www.host2.jp/shop/acacia/index.html","https://www.host2.jp/shop/acacia/go/index.html","https://www.host2.jp/shop/acacia/go/pr01-thum.jpg","1","2026-09-24"
"凪 海斗","ACQUA","https://www.host2.jp/shop/acqua/index.html","https://www.host2.jp/shop/acqua/nagi04/index.html","https://www.host2.jp/shop/acqua/nagi04/pr01-thum.jpg","1","2026-09-24"
"友唏","ACQUA -Sapphire-","https://www.host2.jp/shop/sapphire/index.html","https://www.host2.jp/shop/sapphire/yuki01/index.html","https://www.host2.jp/shop/sapphire/yuki01/pr01-thum.jpg","1","2026-09-24"
"輝利人","AIR","https://www.host2.jp/shop/air/index.html","https://www.host2.jp/shop/air/kirito3/index.html","https://www.host2.jp/shop/air/kirito3/pr01-thum.jpg","1","2026-09-24"
"美堂 聖","AIR DIAMOND","https://www.host2.jp/shop/airdiamond/index.html","https://www.host2.jp/shop/airdiamond/koki/index.html","https://www.host2.jp/shop/airdiamond/koki/pr01-thum.jpg","1","2026-09-24"
"高槻 雅","ALBANOX by ACQUA","https://www.host2.jp/shop/albaox/index.html","https://www.host2.jp/shop/albaox/miyabi/index.html","https://www.host2.jp/shop/albaox/miyabi/pr01-thum.jpg","1","2026-09-24"
"愛恋","ALF","https://www.host2.jp/shop/alf/index.html","https://www.host2.jp/shop/alf/aren02/index.html","https://www.host2.jp/shop/alf/aren02/pr01-thum.jpg","1","2026-09-24"
"東照宮晃西","alice","https://www.host2.jp/shop/alice02/index.html","https://www.host2.jp/shop/alice02/kosei/index.html","https://www.host2.jp/shop/alice02/kosei/pr01-thum.jpg","1","2026-09-24"
"渚 凌","alice -second-","https://www.host2.jp/shop/alicesecond/index.html","https://www.host2.jp/shop/alicesecond/ryo/index.html","https://www.host2.jp/shop/alicesecond/ryo/pr01-thum.jpg","1","2026-09-24"
"翔","ALL BLACK","https://www.host2.jp/shop/allblack1/index.html","https://www.host2.jp/shop/allblack1/sho03/index.html","https://www.host2.jp/shop/allblack1/sho03/pr01-thum.jpg","1","2026-09-24"
"桜木ハル","ALL NOTORIOUS","https://www.host2.jp/shop/allnotorious/index.html","https://www.host2.jp/shop/allnotorious/haru2/index.html","https://www.host2.jp/shop/allnotorious/haru2/pr01-thum.jpg","1","2026-09-24"
"皇 礼央","ALL WHITE","https://www.host2.jp/shop/allfirsttime/index.html","https://www.host2.jp/shop/allfirsttime/sumeragi/index.html","https://www.host2.jp/shop/allfirsttime/sumeragi/pr01-thum.jpg","1","2026-09-24"
