name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,selection_score,shop_listed_hosts,sns_tiktok_top30_match,external_popularity_signal,selection_basis
七瀬るい,alpha by ACQUA -本店-,https://www.host2.jp/shop/alpha1/index.html,https://www.host2.jp/shop/alpha1/rui/index.html,https://www.host2.jp/shop/alpha1/rui/pr01-thum.jpg,1,2026-09-24,10556,28,yes,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
パクセロイ,club -FAIRY-,https://www.host2.jp/shop/c_fairy/index.html,https://www.host2.jp/shop/c_fairy/kota/index.html,https://www.host2.jp/shop/c_fairy/kota/pr01-thum.jpg,1,2026-09-24,10550,25,yes,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
一ノ瀬エイト,CANDY,https://www.host2.jp/shop/candy01/index.html,https://www.host2.jp/shop/candy01/eito01/index.html,https://www.host2.jp/shop/candy01/eito01/pr01-thum.jpg,1,2026-09-24,660,169,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
天使咲瑠,CHRONO,https://www.host2.jp/shop/chrono_nagoya/index.html,https://www.host2.jp/shop/chrono_nagoya/elle/index.html,https://www.host2.jp/shop/chrono_nagoya/elle/pr01-thum.jpg,1,2026-09-24,660,89,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
桜木 凌,VALHALLA,https://www.host2.jp/shop/yggdrasill04/index.html,https://www.host2.jp/shop/yggdrasill04/ryo03/index.html,https://www.host2.jp/shop/yggdrasill04/ryo03/pr01-thum.jpg,1,2026-09-24,660,110,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
賢人,TOP DANDY別館,https://www.host2.jp/shop/topdandybekkan/index.html,https://www.host2.jp/shop/topdandybekkan/kento/index.html,https://www.host2.jp/shop/topdandybekkan/kento/pr01-thum.jpg,1,2026-09-24,660,89,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
水瀬 葵,PRISM,https://www.host2.jp/shop/prism/index.html,https://www.host2.jp/shop/prism/aoi/index.html,https://www.host2.jp/shop/prism/aoi/pr01-thum.jpg,1,2026-09-24,648,74,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
るか,LSP -本店-,https://www.host2.jp/shop/lsp/index.html,https://www.host2.jp/shop/lsp/ruka/index.html,https://www.host2.jp/shop/lsp/ruka/pr01-thum.jpg,1,2026-09-24,646,73,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
妃咲叶桜,ESPRINCE KUMAMOTO,https://www.host2.jp/shop/esprincekumamoto/index.html,https://www.host2.jp/shop/esprincekumamoto/kanon/index.html,https://www.host2.jp/shop/esprincekumamoto/kanon/pr01-thum.jpg,0,2026-09-24,638,19,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
白恋風磨,RE:MAKE,https://www.host2.jp/shop/remake_gd/index.html,https://www.host2.jp/shop/remake_gd/fuma01/index.html,https://www.host2.jp/shop/remake_gd/fuma01/pr01-thum.jpg,1,2026-09-24,638,69,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
流星,TOP DANDY NAGOYA,https://www.host2.jp/shop/topdandynagoya/index.html,https://www.host2.jp/shop/topdandynagoya/ryusei/index.html,https://www.host2.jp/shop/topdandynagoya/ryusei/pr01-thum.jpg,1,2026-09-24,636,68,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
皇 礼央,ALL WHITE,https://www.host2.jp/shop/allfirsttime/index.html,https://www.host2.jp/shop/allfirsttime/sumeragi/index.html,https://www.host2.jp/shop/allfirsttime/sumeragi/pr01-thum.jpg,1,2026-09-24,632,66,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
紅夜,MONSTAR,https://www.host2.jp/shop/monstar/index.html,https://www.host2.jp/shop/monstar/akaya/index.html,https://www.host2.jp/shop/monstar/akaya/pr01-thum.jpg,1,2026-09-24,620,60,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
