name,shop,host2_shop_url,host2_profile_url,photo_source_url,shop_monthly_rank,collected_at,selection_score,shop_listed_hosts,sns_tiktok_top30_match,external_popularity_signal,selection_basis
七瀬るい,alpha by ACQUA -本店-,https://www.host2.jp/shop/alpha1/index.html,https://www.host2.jp/shop/alpha1/rui/index.html,https://www.host2.jp/shop/alpha1/rui/pr01-thum.jpg,1,2026-09-24,10556,28,yes,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
パクセロイ,club -FAIRY-,https://www.host2.jp/shop/c_fairy/index.html,https://www.host2.jp/shop/c_fairy/kota/index.html,https://www.host2.jp/shop/c_fairy/kota/pr01-thum.jpg,1,2026-09-24,10550,25,yes,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
あいち,FIXER,https://www.host2.jp/shop/fixer_nagoya/index.html,https://www.host2.jp/shop/fixer_nagoya/aichi/index.html,https://www.host2.jp/shop/fixer_nagoya/aichi/pr01-thum.jpg,1,2026-09-24,10526,13,yes,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
ハルト,BELLE,https://www.host2.jp/shop/belle_nagoya/index.html,https://www.host2.jp/shop/belle_nagoya/haruto/index.html,https://www.host2.jp/shop/belle_nagoya/haruto/pr01-thum.jpg,1,2026-09-24,10526,13,yes,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
咲夜 京,BOY,https://www.host2.jp/shop/boy/index.html,https://www.host2.jp/shop/boy/kyo/index.html,https://www.host2.jp/shop/boy/kyo/pr01-thum.jpg,3,2026-09-24,10348,24,yes,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
飛鳥冬凛,MIKADO,https://www.host2.jp/shop/mikado/index.html,https://www.host2.jp/shop/mikado/tori/index.html,https://www.host2.jp/shop/mikado/tori/pr01-thum.jpg,2,2026-09-24,2207,34,,1739,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
一ノ瀬エイト,CANDY,https://www.host2.jp/shop/candy01/index.html,https://www.host2.jp/shop/candy01/eito01/index.html,https://www.host2.jp/shop/candy01/eito01/pr01-thum.jpg,1,2026-09-24,660,169,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
天使咲瑠,CHRONO,https://www.host2.jp/shop/chrono_nagoya/index.html,https://www.host2.jp/shop/chrono_nagoya/elle/index.html,https://www.host2.jp/shop/chrono_nagoya/elle/pr01-thum.jpg,1,2026-09-24,660,89,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
桜木 凌,VALHALLA,https://www.host2.jp/shop/yggdrasill04/index.html,https://www.host2.jp/shop/yggdrasill04/ryo03/index.html,https://www.host2.jp/shop/yggdrasill04/ryo03/pr01-thum.jpg,1,2026-09-24,660,110,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
楓舞,A.I.M,https://www.host2.jp/shop/a-i-m/index.html,https://www.host2.jp/shop/a-i-m/fuma/index.html,https://www.host2.jp/shop/a-i-m/fuma/pr01-thum.jpg,1,2026-09-24,660,88,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
櫻井瑛紫,YGGDRASILL,https://www.host2.jp/shop/yggdrasill01/index.html,https://www.host2.jp/shop/yggdrasill01/eiji/index.html,https://www.host2.jp/shop/yggdrasill01/eiji/pr01-thum.jpg,1,2026-09-24,660,112,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
詩音,TOP DANDY,https://www.host2.jp/shop/topdandy/index.html,https://www.host2.jp/shop/topdandy/shion01/index.html,https://www.host2.jp/shop/topdandy/shion01/pr01-thum.jpg,1,2026-09-24,660,152,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
賢人,TOP DANDY別館,https://www.host2.jp/shop/topdandybekkan/index.html,https://www.host2.jp/shop/topdandybekkan/kento/index.html,https://www.host2.jp/shop/topdandybekkan/kento/pr01-thum.jpg,1,2026-09-24,660,89,,,Host2 monthly in-shop rank; listed shop scale; public SNS/popularity match when exact-name verified
